onset	duration	response_time	button_pressed	trial_type
0.0	3.012	n/a	n/a	CueShapes
3.012	2.008	1.147	R	Shapes
5.02	1.054	n/a	n/a	ITI
6.074	2.008	0.645	R	Shapes
8.082	1.054	n/a	n/a	ITI
9.136	2.008	0.455	R	Shapes
11.144	1.055	n/a	n/a	ITI
12.199	2.008	0.544	L	Shapes
14.207	1.054	n/a	n/a	ITI
15.261	2.008	0.514	R	Shapes
17.269	1.054	n/a	n/a	ITI
18.323	2.008	0.46	R	Shapes
20.331	3.012	n/a	n/a	CueFaces
23.343	2.008	0.759	L	Faces
25.351	1.021	n/a	n/a	ITI
26.372	2.008	0.69	L	Faces
28.38	1.02	n/a	n/a	ITI
29.4	2.008	0.583	R	Faces
31.408	1.021	n/a	n/a	ITI
32.429	2.008	0.521	L	Faces
34.437	1.021	n/a	n/a	ITI
35.458	2.008	0.548	R	Faces
37.466	1.02	n/a	n/a	ITI
38.486	2.008	0.648	R	Faces
40.494	3.012	n/a	n/a	CueShapes
43.506	2.008	0.804	L	Shapes
45.514	1.054	n/a	n/a	ITI
46.568	2.008	0.542	L	Shapes
48.576	1.055	n/a	n/a	ITI
49.631	2.008	0.519	L	Shapes
51.639	1.054	n/a	n/a	ITI
52.693	2.008	0.369	R	Shapes
54.701	1.054	n/a	n/a	ITI
55.755	2.008	0.419	R	Shapes
57.763	1.054	n/a	n/a	ITI
58.817	2.008	0.421	R	Shapes
60.825	3.012	n/a	n/a	CueFaces
63.837	2.008	0.529	R	Faces
65.845	1.021	n/a	n/a	ITI
66.866	2.008	0.676	L	Faces
68.874	1.02	n/a	n/a	ITI
69.894	2.008	0.711	R	Faces
71.902	1.021	n/a	n/a	ITI
72.923	2.008	0.987	L	Faces
74.931	1.021	n/a	n/a	ITI
75.952	2.008	0.765	R	Faces
77.96	1.021	n/a	n/a	ITI
78.981	2.008	0.768	L	Faces
80.989	3.011	n/a	n/a	CueShapes
84.0	2.008	0.549	R	Shapes
86.008	1.055	n/a	n/a	ITI
87.063	2.008	0.59	L	Shapes
89.071	1.054	n/a	n/a	ITI
90.125	2.008	0.504	R	Shapes
92.133	1.054	n/a	n/a	ITI
93.187	2.008	0.554	R	Shapes
95.195	1.054	n/a	n/a	ITI
96.249	2.008	0.452	R	Shapes
98.257	1.054	n/a	n/a	ITI
99.311	2.008	0.702	L	Shapes
101.319	3.012	n/a	n/a	CueFaces
104.331	2.008	0.602	R	Faces
106.339	1.021	n/a	n/a	ITI
107.36	2.008	0.757	R	Faces
109.368	1.021	n/a	n/a	ITI
110.389	2.008	0.96	R	Faces
112.397	1.02	n/a	n/a	ITI
113.417	2.008	0.948	L	Faces
115.425	1.021	n/a	n/a	ITI
116.446	2.008	0.967	L	Faces
118.454	1.021	n/a	n/a	ITI
119.475	2.008	0.858	L	Faces
121.483	3.012	n/a	n/a	CueShapes
124.495	2.008	0.637	R	Shapes
126.503	1.054	n/a	n/a	ITI
127.557	2.008	0.407	L	Shapes
129.565	1.054	n/a	n/a	ITI
130.619	2.008	0.609	L	Shapes
132.627	1.054	n/a	n/a	ITI
133.681	2.008	0.483	R	Shapes
135.689	1.054	n/a	n/a	ITI
136.743	2.008	0.581	L	Shapes
138.751	1.055	n/a	n/a	ITI
139.806	2.008	0.454	L	Shapes
141.814	3.012	n/a	n/a	CueFaces
144.826	2.008	0.467	L	Faces
146.834	1.021	n/a	n/a	ITI
147.855	2.008	0.494	R	Faces
149.863	1.021	n/a	n/a	ITI
150.884	2.008	0.569	L	Faces
152.892	1.021	n/a	n/a	ITI
153.913	2.008	0.62	R	Faces
155.921	1.02	n/a	n/a	ITI
156.941	2.008	0.712	L	Faces
158.949	1.038	n/a	n/a	ITI
159.987	2.008	0.73	R	Faces
161.995	3.012	n/a	n/a	CueShapes
165.007	2.008	0.637	R	Shapes
167.015	1.054	n/a	n/a	ITI
168.069	2.008	0.551	R	Shapes
170.077	1.054	n/a	n/a	ITI
171.131	2.008	0.441	R	Shapes
173.139	1.054	n/a	n/a	ITI
174.193	2.008	0.611	L	Shapes
176.201	1.054	n/a	n/a	ITI
177.255	2.008	0.469	R	Shapes
179.263	1.054	n/a	n/a	ITI
180.317	2.008	0.511	R	Shapes
182.325	3.012	n/a	n/a	CueFaces
185.337	2.008	0.691	R	Faces
187.345	1.021	n/a	n/a	ITI
188.366	2.008	0.518	R	Faces
190.374	1.021	n/a	n/a	ITI
191.395	2.008	0.657	R	Faces
193.403	1.02	n/a	n/a	ITI
194.423	2.008	0.805	L	Faces
196.431	1.021	n/a	n/a	ITI
197.452	2.008	0.888	L	Faces
199.46	1.021	n/a	n/a	ITI
200.481	2.008	0.755	L	Faces
202.489	3.012	n/a	n/a	CueShapes
205.501	2.008	0.551	L	Shapes
207.509	1.054	n/a	n/a	ITI
208.563	2.008	0.616	R	Shapes
210.571	1.054	n/a	n/a	ITI
211.625	2.008	0.538	L	Shapes
213.633	1.054	n/a	n/a	ITI
214.687	2.008	0.628	L	Shapes
216.695	1.054	n/a	n/a	ITI
217.749	2.008	0.558	R	Shapes
219.757	1.055	n/a	n/a	ITI
220.812	2.008	0.463	R	Shapes
222.82	3.012	n/a	n/a	CueFaces
225.832	2.008	0.739	R	Faces
227.84	1.02	n/a	n/a	ITI
228.86	2.008	0.471	R	Faces
230.868	1.021	n/a	n/a	ITI
231.889	2.008	0.85	L	Faces
233.897	1.021	n/a	n/a	ITI
234.918	2.008	0.549	R	Faces
236.926	1.02	n/a	n/a	ITI
237.946	2.008	0.969	L	Faces
239.954	1.021	n/a	n/a	ITI
240.975	2.008	0.556	L	Faces
242.983	3.012	n/a	n/a	CueShapes
245.995	2.008	0.496	L	Shapes
248.003	1.054	n/a	n/a	ITI
249.057	2.008	0.386	R	Shapes
251.065	1.054	n/a	n/a	ITI
252.119	2.008	0.476	R	Shapes
254.127	1.055	n/a	n/a	ITI
255.182	2.008	0.469	R	Shapes
257.19	1.055	n/a	n/a	ITI
258.245	2.008	0.478	R	Shapes
260.253	1.054	n/a	n/a	ITI
261.307	2.008	0.408	R	Shapes
263.315	3.012	n/a	n/a	CueFaces
266.327	2.008	0.516	R	Faces
268.335	1.02	n/a	n/a	ITI
269.355	2.008	0.712	L	Faces
271.363	1.021	n/a	n/a	ITI
272.384	2.008	0.619	L	Faces
274.392	1.038	n/a	n/a	ITI
275.43	2.008	0.453	R	Faces
277.438	1.02	n/a	n/a	ITI
278.458	2.008	0.569	L	Faces
280.466	1.021	n/a	n/a	ITI
281.487	2.008	0.548	R	Faces
283.495	3.012	n/a	n/a	CueShapes
286.507	2.008	0.56	L	Shapes
288.515	1.054	n/a	n/a	ITI
289.569	2.008	0.442	R	Shapes
291.577	1.054	n/a	n/a	ITI
292.631	2.008	0.516	R	Shapes
294.639	1.054	n/a	n/a	ITI
295.693	2.008	0.646	L	Shapes
297.701	1.055	n/a	n/a	ITI
298.756	2.008	0.551	L	Shapes
300.764	1.054	n/a	n/a	ITI
301.818	2.008	0.577	L	Shapes
303.826	3.012	n/a	n/a	CueFaces
306.838	2.008	0.548	R	Faces
308.846	1.02	n/a	n/a	ITI
309.866	2.008	0.8	R	Faces
311.874	1.021	n/a	n/a	ITI
312.895	2.008	0.667	L	Faces
314.903	1.021	n/a	n/a	ITI
315.924	2.008	0.606	L	Faces
317.932	1.02	n/a	n/a	ITI
318.952	2.008	0.682	L	Faces
320.96	1.021	n/a	n/a	ITI
321.981	2.008	0.685	L	Faces
323.989	3.012	n/a	n/a	CueShapes
327.001	2.008	0.673	R	Shapes
329.009	1.054	n/a	n/a	ITI
330.063	2.008	0.483	L	Shapes
332.071	1.054	n/a	n/a	ITI
333.125	2.008	0.469	L	Shapes
335.133	1.055	n/a	n/a	ITI
336.188	2.008	0.51	R	Shapes
338.196	1.054	n/a	n/a	ITI
339.25	2.008	0.544	L	Shapes
341.258	1.054	n/a	n/a	ITI
342.312	2.008	0.618	R	Shapes
344.32	3.012	n/a	n/a	CueFaces
347.332	2.008	0.678	R	Faces
349.34	1.021	n/a	n/a	ITI
350.361	2.008	0.624	R	Faces
352.369	1.021	n/a	n/a	ITI
353.39	2.008	0.691	L	Faces
355.398	1.021	n/a	n/a	ITI
356.419	2.008	0.711	L	Faces
358.427	1.021	n/a	n/a	ITI
359.448	2.008	0.53	R	Faces
361.456	1.02	n/a	n/a	ITI
362.476	2.008	0.686	L	Faces
364.484	3.012	n/a	n/a	CueShapes
367.496	2.008	0.65	L	Shapes
369.504	1.055	n/a	n/a	ITI
370.559	2.008	0.523	R	Shapes
372.567	1.055	n/a	n/a	ITI
373.622	2.008	0.653	R	Shapes
375.63	1.054	n/a	n/a	ITI
376.684	2.008	0.519	L	Shapes
378.692	1.054	n/a	n/a	ITI
379.746	2.008	0.553	L	Shapes
381.754	1.054	n/a	n/a	ITI
382.808	2.008	0.659	L	Shapes
384.816	3.012	n/a	n/a	CueFaces
387.828	2.008	0.727	L	Faces
389.836	1.021	n/a	n/a	ITI
390.857	2.008	0.45	R	Faces
392.865	1.02	n/a	n/a	ITI
393.885	2.008	0.526	R	Faces
395.893	1.021	n/a	n/a	ITI
396.914	2.008	0.553	R	Faces
398.922	1.021	n/a	n/a	ITI
399.943	2.008	0.539	L	Faces
401.951	1.021	n/a	n/a	ITI
402.972	2.008	0.55	L	Faces
404.98	3.012	n/a	n/a	CueShapes
407.992	2.008	0.498	L	Shapes
410.0	1.054	n/a	n/a	ITI
411.054	2.008	0.524	R	Shapes
413.062	1.054	n/a	n/a	ITI
414.116	2.008	0.646	R	Shapes
416.124	1.054	n/a	n/a	ITI
417.178	2.008	0.52	L	Shapes
419.186	1.054	n/a	n/a	ITI
420.24	2.008	0.61	L	Shapes
422.248	1.054	n/a	n/a	ITI
423.302	2.008	0.62	L	Shapes
